collection_name,dataset_name,train_path,test_path,dataset_type,train_type,input_type,length,dimensions,contamination,num_anomalies,min_anomaly_length,median_anomaly_length,max_anomaly_length,period_size
CalIt2,CalIt2-traffic,,multivariate/CalIt2/CalIt2-traffic.test.csv,real,unsupervised,multivariate,5040.0,2.0,0.0408730158730158,29.0,2.0,7.0,19.0,48.0
Daphnet,S01R01E0,,multivariate/Daphnet/S01R01E0.test.csv,real,unsupervised,multivariate,19200.0,9.0,0.0,0.0,0.0,0.0,0.0,36.0
Daphnet,S01R01E1,,multivariate/Daphnet/S01R01E1.test.csv,real,unsupervised,multivariate,73600.0,9.0,0.0699320652173913,18.0,34.0,127.0,973.0,32.0
Daphnet,S01R02E0,,multivariate/Daphnet/S01R02E0.test.csv,real,unsupervised,multivariate,28800.0,9.0,0.0537152777777777,5.0,112.0,256.0,571.0,34.0
Daphnet,S02R01E0,,multivariate/Daphnet/S02R01E0.test.csv,real,unsupervised,multivariate,25600.0,9.0,0.1381640625,9.0,60.0,440.0,911.0,29.0
Daphnet,S02R02E0,,multivariate/Daphnet/S02R02E0.test.csv,real,unsupervised,multivariate,64960.0,9.0,0.1242610837438423,15.0,215.0,441.0,1178.0,29.0
Daphnet,S03R01E0,,multivariate/Daphnet/S03R01E0.test.csv,real,unsupervised,multivariate,55040.0,9.0,0.1481286337209302,20.0,28.0,255.0,1326.0,21.0
Daphnet,S03R01E1,,multivariate/Daphnet/S03R01E1.test.csv,real,unsupervised,multivariate,35840.0,9.0,0.2198939732142857,23.0,71.0,314.0,804.0,14.0
Daphnet,S03R02E0,,multivariate/Daphnet/S03R02E0.test.csv,real,unsupervised,multivariate,16640.0,9.0,0.1385817307692307,6.0,84.0,418.0,664.0,13.0
Daphnet,S03R03E0,,multivariate/Daphnet/S03R03E0.test.csv,real,unsupervised,multivariate,21120.0,9.0,0.0,0.0,0.0,0.0,0.0,
Daphnet,S04R01E0,,multivariate/Daphnet/S04R01E0.test.csv,real,unsupervised,multivariate,99840.0,9.0,0.0,0.0,0.0,0.0,0.0,32.0
Daphnet,S04R01E1,,multivariate/Daphnet/S04R01E1.test.csv,real,unsupervised,multivariate,32640.0,9.0,0.0,0.0,0.0,0.0,0.0,32.0
Daphnet,S05R01E0,,multivariate/Daphnet/S05R01E0.test.csv,real,unsupervised,multivariate,19840.0,9.0,0.0602822580645161,5.0,159.0,231.0,367.0,32.0
Daphnet,S05R01E1,,multivariate/Daphnet/S05R01E1.test.csv,real,unsupervised,multivariate,24320.0,9.0,0.3361019736842105,20.0,82.0,343.0,986.0,33.0
Daphnet,S05R01E2,,multivariate/Daphnet/S05R01E2.test.csv,real,unsupervised,multivariate,14080.0,9.0,0.2283380681818181,6.0,48.0,644.0,948.0,31.0
Daphnet,S05R01E3,,multivariate/Daphnet/S05R01E3.test.csv,real,unsupervised,multivariate,9600.0,9.0,0.4966666666666666,9.0,318.0,401.0,1020.0,32.0
Daphnet,S05R02E0,,multivariate/Daphnet/S05R02E0.test.csv,real,unsupervised,multivariate,35840.0,9.0,0.2142578125,15.0,111.0,369.0,1830.0,33.0
Daphnet,S05R02E1,,multivariate/Daphnet/S05R02E1.test.csv,real,unsupervised,multivariate,30080.0,9.0,0.1774601063829787,11.0,57.0,309.0,1427.0,33.0
Daphnet,S06R01E0,,multivariate/Daphnet/S06R01E0.test.csv,real,unsupervised,multivariate,51200.0,9.0,0.157265625,7.0,121.0,1278.0,2594.0,21.0
Daphnet,S06R01E1,,multivariate/Daphnet/S06R01E1.test.csv,real,unsupervised,multivariate,30720.0,9.0,0.0088541666666666,2.0,98.0,136.0,174.0,31.0
Daphnet,S06R01E2,,multivariate/Daphnet/S06R01E2.test.csv,real,unsupervised,multivariate,25600.0,9.0,0.0034765625,1.0,89.0,89.0,89.0,45.0
Daphnet,S06R02E0,,multivariate/Daphnet/S06R02E0.test.csv,real,unsupervised,multivariate,7040.0,9.0,0.0,0.0,0.0,0.0,0.0,32.0
