collection_name,dataset_name,Seed,affiliation_f1,affiliation_f1_gt_contamination,roc_vus,pr_vus,fbeta,fbeta_05,fbeta_2,Time fit (s),Time predict (s),Peak memory fit (KiB),Peak memory predict (KiB)
Demo,Demo1,0.0,0.8918148369596715,0.999627201593974,0.9741926267992108,0.8625265083183995,0.4946236559139785,0.3795379537953795,0.7098765432098766,0.70074,0.06952,917.19824,340.66895
Demo,Demo2,0.0,0.5860089635219746,0.5140915925293656,0.8859649035375019,0.1447155509167644,0.1608391608391608,0.1143141153081511,0.2712264150943396,0.74202,0.10461,1081.62793,580.57031
Demo,Demo3,0.0,0.8153623552464654,0.9209469417819456,0.88789549747704,0.625277899149826,0.4827586206896551,0.4147675478577939,0.5774111675126903,0.66913,0.05177,1058.03613,580.57031
Demo,Demo4,0.0,0.8132304024875359,0.809759154708985,0.7984945770192421,0.2514847303152323,0.1719901719901719,0.15527950310559,0.1927312775330396,0.70335,0.10102,1081.6084,580.57031
Dodgers,101-freeway-traffic,0.0,0.7397740387016625,0.7464285008371682,0.70286779942409,0.474076854270218,0.1509575666541494,0.1559832376222256,0.1462456344586728,1.93444,1.88923,12315.33203,11482.85938
IOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,0.0,0.6695625505205882,0.3891197498434929,0.7973941151313263,0.1358750211412061,0.1136842105263157,0.0752718148870922,0.232158211521926,0.63939,0.30354,2676.97363,2122.83594
IOPS,301c70d8-1630-35ac-8f96-bc1b6f4359ea,0.0,0.6030717458637724,0.3118484093095011,0.8320129179455956,0.4555239628639578,0.1437788018433179,0.1047823750671682,0.2290076335877862,0.88265,0.35413,2667.1582,2122.83594
IOPS,54350a12-7a9d-3ca8-b81f-f886b9d156fd,0.0,0.7756169052004755,0.887000738889281,0.8716323769096278,0.4667325562805564,0.2436781609195402,0.1679340937896071,0.4438860971524288,0.76713,0.3135,2589.02344,1843.82031
IOPS,a8c06b47-cc41-3738-9110-12df0ee4c721,0.0,0.7993933514850659,0.6495227104919867,0.8866859747765786,0.4996088569546246,0.280225988700565,0.1962646407090851,0.4897314375987361,0.88463,0.30905,2578.87988,1834.61719
IOPS,ab216663-dcc2-3a24-b1ee-2c3e550e06c9,0.0,0.4689030999475476,0.4416850900872771,0.6826685988747921,0.1804160447837365,0.0711462450592885,0.0500111135807957,0.1232201533406352,0.93727,0.43727,3200.96875,2590.64844
IOPS,c02607e8-7399-3dde-9d28-8a8da5e5d251,0.0,0.7136223356570878,0.276420649373007,0.5905278289087478,0.064926165275464,0.102127659574468,0.0670953312831982,0.213713268032057,0.93137,0.36119,2674.88184,2122.83594
IOPS,e0747cad-8dc8-38a9-a9ab-855b61f5551d,0.0,0.6353021105640567,0.2954348201932848,0.7512728726976355,0.2017471382361048,0.1889447236180904,0.1294052863436123,0.3499627699180938,0.9245,0.19156,2639.27637,2122.83594
KDD-TSAD,001_UCR_Anomaly_DISTORTED1sddb40,0.0,0.6729251773142628,0.7221205118162412,0.6524124223909354,0.0467137268069598,0.055813953488372,0.0368776889981561,0.1147227533460803,1.59492,2.86008,8652.26074,18142.66406
KDD-TSAD,002_UCR_Anomaly_DISTORTED2sddb40,0.0,0.6659716158222156,0.6233539530150232,0.3906986274483369,0.0031155336391921,0.0,0.0,0.0,1.53222,2.8797,8646.33887,18189.33594
KDD-TSAD,003_UCR_Anomaly_DISTORTED3sddb40,0.0,0.6575811660669677,0.6138287869070533,0.6154855339712112,0.0066097786214926,0.0050602409638554,0.003250773993808,0.0114130434782608,1.67209,2.58877,8652.09668,18189.10938
KDD-TSAD,004_UCR_Anomaly_DISTORTEDBIDMC1,0.0,0.6855201071809809,0.6890550534455762,0.5777614594080595,0.0841234115029246,0.0338461538461538,0.0239130434782608,0.0578947368421052,0.76248,0.42953,1090.15137,2642.21094
KDD-TSAD,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,0.0,0.769515018015216,0.2715970151370575,0.4084380447257575,0.0071569553025582,0.0,0.0,0.0,0.81572,0.3405,1423.66309,1981.38281
KDD-TSAD,006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,0.0,0.7918654629033508,0.7092930307978669,0.7577972532769441,0.0186838250212892,0.0355871886120996,0.0227272727272727,0.0819672131147541,0.80745,0.32781,1431.69434,1981.38281
KDD-TSAD,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,0.0,0.7607671501362585,0.5708070629710505,0.4987469957444204,0.0103791538780272,0.0,0.0,0.0,0.82906,0.33746,1431.00684,1981.38281
KDD-TSAD,008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,0.0,0.7583098503473163,0.7835669346790674,0.7803727445074166,0.0365860629586424,0.0830449826989619,0.0541516245487364,0.1780415430267062,0.76577,0.34884,1528.29102,1983.66895
