collection_name,dataset_name,Seed,affiliation_f1,affiliation_f1_gt_contamination,roc_vus,pr_vus,fbeta,fbeta_05,fbeta_2,Time fit (s),Time predict (s),Peak memory fit (KiB),Peak memory predict (KiB)
Demo,Demo1,0.0,0.9771689497716896,0.9987876705245213,0.9994596230776793,0.9928230174441943,0.4946236559139785,0.3795379537953795,0.7098765432098766,0.51154,0.56157,1776.06348,1339.80859
Demo,Demo2,0.0,0.9507508689094367,0.9992930873596895,0.9996896428343781,0.992643676249681,0.3216783216783217,0.22862823061630222,0.5424528301886793,0.39623,1.12043,2853.5498,2338.02734
Demo,Demo3,0.0,0.9808186387296212,0.9864733588505683,0.9977668947491974,0.9686215820962565,0.7267904509283819,0.6244302643573383,0.8692893401015228,0.45739,1.22715,2853.50293,2338.02734
Demo,Demo4,0.0,0.9609277257937351,0.9596085047676642,0.9876635672693062,0.8721154602457776,0.4668304668304668,0.4214729370008873,0.5231277533039648,0.34528,0.99612,2853.50293,2338.02734
Dodgers,101-freeway-traffic,0.0,0.66451810460994,0.6750405849533706,0.8076703646576956,0.5338335696592456,0.16804355989485542,0.17363805680583577,0.16279831199068684,54.22629,807.82537,2204205.67188,50670.21875
IOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,0.0,0.6147648910065528,0.24402483697845267,0.8052069918289501,0.21793230380678325,0.021052631578947364,0.013939224979091162,0.042992261392949274,0.71341,5.41806,10874.02637,8727.90625
IOPS,301c70d8-1630-35ac-8f96-bc1b6f4359ea,0.0,0.37522399716321914,0.17833270409040558,0.8106973981608633,0.513715300254689,0.14193548387096774,0.10343901128425577,0.22607163828537874,0.82038,4.67464,10873.9873,8727.90625
IOPS,54350a12-7a9d-3ca8-b81f-f886b9d156fd,0.0,0.818230788333616,0.4905673876992903,0.9358131781093,0.5978415694914069,0.23218390804597705,0.16001267427122942,0.42294807370184256,0.7997,33.3659,10971.92285,7554.02734
IOPS,a8c06b47-cc41-3738-9110-12df0ee4c721,0.0,0.7821175215485748,0.18153710467217074,0.9439647270239024,0.6690128265129595,0.25536723163841807,0.17885406774295662,0.44628751974723535,0.9042,34.34765,10968.33984,7516.02734
IOPS,ab216663-dcc2-3a24-b1ee-2c3e550e06c9,0.0,0.3492644273061254,0.17883578054746066,0.6090253150538126,0.1653575502759125,0.00316205533596838,0.0022227161591464773,0.00547645125958379,1.31819,10.38164,13685.4541,10739.5
