collection_name,dataset_name,Seed,affiliation_f1,affiliation_f1_gt_contamination,roc_vus,pr_vus,fbeta,fbeta_05,fbeta_2,Time fit (s),Time predict (s),Peak memory fit (KiB),Peak memory predict (KiB)
Demo,Demo1,0.0,0.9771689497716896,0.9992230918839613,0.9994731286673271,0.9931394506946724,0.4946236559139785,0.3795379537953795,0.7098765432098766,0.71702,0.5333,2334.31934,2149.94141
Demo,Demo2,0.0,0.9753223465118265,0.9995469277595005,0.9996991349654364,0.9930373763772582,0.3216783216783217,0.22862823061630222,0.5424528301886793,0.27833,0.31364,3800.63477,3779.91797
Demo,Demo3,0.0,0.647928418595604,0.657065410931671,0.7543939254115705,0.5170735547338362,0.24403183023872677,0.2096627164995442,0.2918781725888325,0.34692,0.38562,3800.63477,3779.91797
Demo,Demo4,0.0,0.6466118455293016,0.6535375571362226,0.6107691199854742,0.4589442128495371,0.22604422604422605,0.20408163265306126,0.2533039647577093,0.26823,0.35349,3800.63477,3779.91797
Dodgers,101-freeway-traffic,0.0,0.7101582071614025,0.7101582071614025,0.5702994301123778,0.6590335147097953,0.20038563165036063,0.13541686774897205,0.3851855919174171,52.19414,54.15258,2162686.69727,2161924.0918
IOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,0.0,0.7181130466891674,0.4968856388874469,0.9180288214343555,0.4113574889419947,0.12,0.07945358238081962,0.24505588993981078,0.70664,0.94434,14461.33008,14206.66016
IOPS,301c70d8-1630-35ac-8f96-bc1b6f4359ea,0.0,0.41335405705179684,0.16415756676777418,0.7283983568671992,0.49721790779660235,0.16221198156682026,0.11821601289629231,0.25836758661186143,0.66615,0.92305,14461.25977,14206.66016
IOPS,54350a12-7a9d-3ca8-b81f-f886b9d156fd,0.0,0.8153740832780827,0.49014899356122005,0.9779208729775303,0.6926069995060009,0.23218390804597705,0.16001267427122942,0.42294807370184256,0.73219,0.85235,14598.19336,12296.66797
IOPS,a8c06b47-cc41-3738-9110-12df0ee4c721,0.0,0.5725468824680494,0.1732914278981674,0.8749180767351485,0.353518207115575,0.14463276836158193,0.10129787907565685,0.2527646129541864,1.07979,1.33601,14593.18359,12234.62109
IOPS,ab216663-dcc2-3a24-b1ee-2c3e550e06c9,0.0,0.5169292219109551,0.24024310914284866,0.7288229074628185,0.31502498202790147,0.08695652173913045,0.06112469437652813,0.15060240963855423,1.07052,1.19361,18392.25586,17481.34766
IOPS,c02607e8-7399-3dde-9d28-8a8da5e5d251,0.0,0.8118487592683341,0.3329322501409682,0.8864775543039174,0.3251558982802882,0.1148936170212766,0.075482247693598,0.24042742653606414,0.8788,1.16619,14461.25977,14206.66016
IOPS,e0747cad-8dc8-38a9-a9ab-855b61f5551d,0.0,0.5191778445674793,0.44054939258828996,0.6522254140296535,0.3491038723983259,0.1849246231155779,0.1266519823788546,0.3425167535368578,0.72418,0.98903,14461.25977,14206.66016
KDD-TSAD,001_UCR_Anomaly_DISTORTED1sddb40,0.0,0.7449676698075033,0.8815571497710137,0.8881857582875505,0.30416014012891435,0.11651162790697676,0.0769821757836509,0.23948374760994265,10.3651,25.91923,58239.93164,130709.08203
KDD-TSAD,002_UCR_Anomaly_DISTORTED2sddb40,0.0,0.7780343350554749,0.7429150735213634,0.9364136313179758,0.040704610032553004,0.0438501385375256,0.028169886082218917,0.09890229322899685,12.5096,26.79243,58239.93164,131047.05078
KDD-TSAD,003_UCR_Anomaly_DISTORTED3sddb40,0.0,0.6953692697910965,0.49579324784761825,0.9832619361678959,0.10703742820778012,0.07228915662650602,0.04643962848297214,0.16304347826086957,10.49955,23.70013,58239.93164,131045.41016
KDD-TSAD,004_UCR_Anomaly_DISTORTEDBIDMC1,0.0,0.8606324695075588,0.9973687904362658,0.9992429544167927,0.9725812415897536,0.3076923076923077,0.2173913043478261,0.5263157894736843,0.3663,0.68359,3967.4707,17842.28516
KDD-TSAD,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,0.0,0.8250930351097141,0.8480571803494062,0.8479513000022602,0.020422295319544988,0.0,0.0,0.0,0.63666,0.56494,6472.35352,13224.10547
KDD-TSAD,006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,0.0,0.8643389387856346,0.9998574304895251,0.9995213989728275,0.965710396653353,0.056939501779359435,0.03636363636363637,0.13114754098360656,0.76754,0.77387,6472.35352,13224.10547
KDD-TSAD,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,0.0,0.8177709102805196,0.9999338102130868,0.9971656886953691,0.8507549468644893,0.056939501779359435,0.03636363636363637,0.13114754098360656,0.65516,0.75296,6472.35352,13224.10547
KDD-TSAD,008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,0.0,0.7792126809594714,0.8103510689603534,0.7909706911800158,0.030270203765653255,0.0,0.0,0.0,1.4004,0.99659,6657.54004,13226.94141
KDD-TSAD,009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,0.0,0.8775231440758442,0.9985099727006541,0.9996031992488132,0.96280236943896,0.11072664359861592,0.07220216606498196,0.23738872403560832,0.56128,0.61125,6472.35352,13224.10547
KDD-TSAD,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,0.0,0.8557320960066047,0.9991341164808785,0.9996129301553597,0.9722925832535682,0.11072664359861592,0.07220216606498196,0.23738872403560832,0.56494,0.64635,6472.35352,13224.10547
KDD-TSAD,011_UCR_Anomaly_DISTORTEDECG1,0.0,0.6915141823324827,0.9497953449348416,0.9971824592504952,0.8829065740987805,0.18181818181818182,0.12195121951219513,0.35714285714285715,0.9691,3.69208,16491.88477,49014.16016
