collection_name,dataset_name,Seed,affiliation_f1,affiliation_f1_gt_contamination,roc_vus,pr_vus,fbeta,fbeta_05,fbeta_2,Time fit (s),Time predict (s),Peak memory fit (KiB),Peak memory predict (KiB)
Demo,Demo1,0.0,0.8914058500965777,0.999627201593974,0.9611737132684923,0.862148700677644,0.4946236559139785,0.3795379537953795,0.7098765432098766,0.21392,0.14103,376.3457,240.76172
Demo,Demo2,0.0,0.47829169190061416,0.28269109104503354,0.8437336835477149,0.11177516484716235,0.04195804195804197,0.02982107355864811,0.07075471698113207,0.59355,0.34141,529.32617,363.55859
Demo,Demo3,0.0,0.8810067931670473,0.6232610805564542,0.8784900055600691,0.5590676605494419,0.5092838196286473,0.4375569735642662,0.6091370558375635,0.59224,0.38874,529.05273,363.55859
Demo,Demo4,0.0,0.805201364221389,0.8040223365142712,0.7572060156993236,0.24417763527376427,0.07371007371007372,0.06654835847382432,0.08259911894273128,0.57781,0.35165,529.32617,363.55859
Dodgers,101-freeway-traffic,0.0,0.5590857995606452,0.5658701510574817,0.6461580220752648,0.31024338642805205,0.08129928651896358,0.08400589787366136,0.07876164144353902,1381.16744,198.30509,19361.80176,12993.12988
IOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,0.0,0.5067433395406351,0.3898578948030989,0.7174565769830475,0.1057384791147203,0.0968421052631579,0.06412043490381934,0.19776440240756665,7.89505,3.0861,1905.35742,1234.05859
IOPS,301c70d8-1630-35ac-8f96-bc1b6f4359ea,0.0,0.5010173358973068,0.29305749601326,0.7484816785343598,0.37651204239270414,0.09400921658986176,0.06851155292853305,0.1497357604227833,7.71069,3.7118,1905.49414,1234.05859
IOPS,54350a12-7a9d-3ca8-b81f-f886b9d156fd,0.0,0.7928511699825275,0.9312208464416902,0.8864435293706002,0.5222966983812257,0.24597701149425283,0.16951837769328262,0.4480737018425461,8.42284,3.37041,1923.27148,1069.80859
IOPS,a8c06b47-cc41-3738-9110-12df0ee4c721,0.0,0.842624489458723,0.948483908486579,0.9025121198039056,0.575032384082015,0.28700564971751413,0.20101297879075655,0.5015797788309637,7.82174,3.15519,1922.68945,1064.46484
IOPS,ab216663-dcc2-3a24-b1ee-2c3e550e06c9,0.0,0.4626534426392002,0.42112328793675896,0.6629389601163763,0.17331680294594884,0.07430830039525692,0.0522338297399422,0.12869660460021903,13.34836,5.17235,2415.9707,1514.74609
